Heading,Arc Length
-118.37963824579933,3.090446157904274
-116.1716623998136,6.018546106182974
-113.81926598982423,8.794486031749658
-111.32059300472095,11.428575242649963
-108.67666598061312,13.931216133463735
-105.89210906674843,16.312861164731007
-102.97583127495027,18.583955098547197
-99.9415755026315,20.754861506171103
-96.80822288335443,22.83577379885952
-93.59974467987178,24.83661268753193
-90.34472352069801,26.76691387491248
-87.07542417130514,28.635711613379037
-83.82647267196609,30.451425126588834
-80.63328239951419,32.22175542205815
-77.53042231546554,33.95359950168626
-74.55013724831942,35.65298744685677
-71.72119743616291,37.325045611850925
-69.06818617468161,38.97398666656147
-66.61125264984518,40.603124964731144
-64.36628505212663,42.21491403286061
-62.34541212789285,43.81100204006719
-60.55772347313554,45.39230089718823
-59.01010504937365,46.959064995795806
-57.70810714085883,48.51097633651302
-56.65678779595513,50.047233724484904
-55.861498677493614,51.56664468665677
-55.32859814454365,53.06771970324619
-55.066086561021805,54.54876920339747
-55.08416073075137,56.008004542141336
-55.395677619937736,57.44364485460052
-56.01650122100274,58.85403226918126
-56.965678750015535,60.23775842084051
-58.26535100963616,61.59380544883536
-59.940245211212705,62.92170450935877
-62.01652975639806,64.22171396776028
-64.51974381135338,65.49501737892892
-67.47148716625173,66.74393749912954
-70.8846403081517,67.97215631149336
-74.75718787113028,69.18492228768706
-79.06533696624776,70.38921603445489
-83.75751553350183,71.59383745486836
-88.75165053672417,72.80937720703778
-93.93815364271063,74.04804824946612
-99.18962563250442,75.32338063805918
-104.37563360743421,76.64981664496524
-109.37846433706491,78.04226887848844
-114.10525115124447,79.51570888586772
-118.49369996796544,81.08483676428902
-122.51144115097811,82.76385417530173
-126.15105120537459,84.56633725835289
-129.42329549325567,86.50519016481469
-132.35054917519258,88.5926548815484
-134.96142619837588,90.84035512899327
-137.28689693088003,93.25935732984973
-139.35775098813778,95.86023717163246
-141.20310166874282,98.65314482817395
-142.84962011894447,101.64786514653397
-144.32124272084093,104.8538712014014
-145.63916406416874,108.28037086399057
