X Points,Y Points,Heading,Arc Length,Delta Heading,Delta Arc Length,Curvature,Left Power,Right Power
70745.07820962778,132710.80989924815,-119.87424825084432,8395.60535625427,2.158730632760836,4079.808644430538,5.291254617315888E-4,0.582325534844016,0.7118493728096662
67207.39164902222,130678.66512731853,-117.56279587864609,12253.109328681054,2.3114523721982323,3857.5039724267845,5.992093303650059E-4,0.5707354957975532,0.7094226381294455
63787.69807395,128893.7189797,-115.09283722787298,15902.212244085918,2.4699586507731084,3649.1029154048647,6.768673583707464E-4,0.5582145046397329,0.7064120236861178
60482.99084017778,127346.18475188149,-112.46074458777211,19357.015990320266,2.632092640100865,3454.8037462343473,7.61864590128967E-4,0.5448507617840778,0.7027763201901288
57290.263303472224,126026.27573935186,-109.66584580640884,22631.783326732675,2.7948987813632726,3274.7673364124093,8.5346484016943E-4,0.5308065525421584,0.6985004794239555
54206.5088196,124924.2052376,-106.71128718942681,25740.88146753018,2.954558616982027,3109.098140797505,9.502944208200948E-4,0.5163337994085305,0.6936073164274504
51228.72074432777,124030.18654211482,-103.60488448380713,28698.703450065936,3.1064027056196863,2957.8219825357555,0.0010502331526241946,0.5017846035689904,0.6881687659061706
48353.892433422225,123334.43294838519,-100.35985063528523,31519.565100223972,3.2450338485218992,2820.8616501580364,0.0011503697277532655,0.4876120117690156,0.6823140426803312
45579.01724264999,122827.1577519,-96.99526171496055,34217.577205622125,3.364588920324678,2698.012105398153,0.001247062203165377,0.47435611207372197,0.6762314472932026
42901.08852777778,122498.57424814816,-93.5361166411665,36806.49508320179,3.4591450737940477,2588.917877579668,0.0013361354965140534,0.462612098134774,0.6701608025624152
40317.09964457223,122338.89573261852,-90.01287533137098,39299.550841920805,3.523241309795523,2493.0557587190124,0.0014132220258105317,0.4529805581250819,0.6643750367128116
37824.0439488,122338.3355008,-86.46042963100719,41709.2767919729,3.5524457003637906,2409.725950052096,0.0014742114970737667,0.4460054792817092,0.6591522213035375
35418.91479622778,122487.10684818149,-82.91656330989193,44047.33094541456,3.54386632111526,2338.054153441655,0.0015157332074189193,0.4421106896246507,0.6547426688915654
33098.70554262222,122775.42307025185,-79.42006664152211,46324.336693325844,3.496496668369815,2277.0057479112875,0.0015355677830752718,0.44154832164137925,0.6513381217435664
30860.40954375,123193.4974625,-76.00875311743314,48549.74808806476,3.4113135240889676,2225.4113947389196,0.0015328911913337153,0.4443714751439594,0.6490502865892975
28701.02015537778,123731.54332041481,-72.71765140447066,50731.74971673651,3.2911017129624867,2182.0016286717437,0.0015082948013040028,0.4504374684807259,0.6479035712584734
